membership_id,student_id,club_id,joined_on,role
1,115,12,2022-06-09,President
2,924,10,2016-06-02,Member
3,237,14,2017-12-19,Vice President
4,90,19,2015-01-21,Treasurer
5,124,6,2019-08-04,Member
6,361,13,2021-05-01,Treasurer
7,810,20,2021-05-21,Member
8,62,18,2019-12-06,Treasurer
9,604,12,2018-10-24,Treasurer
10,402,8,2017-07-09,President
11,299,15,2022-09-18,Treasurer
12,716,12,2023-07-06,President
13,510,1,2021-09-26,Vice President
14,972,20,2021-01-10,Secretary
15,894,7,2020-10-21,Secretary
16,64,12,2019-09-27,President
17,150,20,2017-01-01,Secretary
18,811,11,2017-11-06,Secretary
19,959,5,2019-09-15,Member
20,623,12,2016-12-18,President
21,872,8,2016-06-28,Secretary
22,455,20,2022-11-17,Vice President
23,384,6,2017-03-23,Vice President
24,557,12,2023-09-29,Secretary
25,617,8,2020-09-14,Treasurer
26,956,4,2019-05-15,Member
27,308,8,2022-03-01,Member
28,538,17,2019-10-12,Treasurer
29,982,12,2020-10-17,President
30,464,6,2016-09-27,Treasurer
31,358,2,2018-05-04,Member
32,369,12,2020-02-21,President
33,246,18,2017-03-14,Secretary
34,657,17,2016-12-03,Secretary
35,349,20,2022-04-02,President
36,172,16,2015-02-10,Treasurer
37,616,12,2015-07-26,President
38,306,2,2018-02-20,Treasurer
39,128,15,2018-12-11,Vice President
40,716,3,2015-03-11,Secretary
41,752,12,2018-06-14,Treasurer
42,848,18,2016-12-01,Secretary
43,932,4,2018-01-27,Member
44,572,11,2022-03-25,Secretary
45,500,4,2017-01-27,President
46,265,9,2017-05-06,President
47,741,3,2021-12-02,Treasurer
48,261,8,2019-04-24,Secretary
49,196,13,2018-08-12,Member
50,305,9,2021-09-11,President
51,187,8,2019-07-29,Secretary
52,583,10,2016-08-20,Member
53,793,12,2017-05-25,Member
54,183,15,2022-10-21,President
55,887,4,2016-05-10,President
56,358,17,2015-03-10,President
57,259,18,2022-02-16,Secretary
58,531,11,2019-09-08,President
59,112,9,2022-03-17,Vice President
60,109,13,2017-06-18,Secretary
61,26,11,2016-10-12,Secretary
62,769,16,2020-05-01,Vice President
63,816,16,2018-06-24,Secretary
64,580,19,2015-05-06,President
65,637,1,2019-03-03,Treasurer
66,447,2,2016-08-28,Vice President
67,940,9,2018-04-27,Member
68,698,1,2016-03-08,Member
69,713,10,2019-09-10,Treasurer
70,154,5,2017-07-13,President
71,833,19,2021-02-20,Vice President
72,494,19,2016-09-18,Treasurer
73,841,16,2015-06-11,President
74,741,6,2023-02-24,Vice President
75,129,5,2023-04-13,Secretary
76,898,14,2016-05-31,President
77,433,5,2023-10-06,Member
78,500,4,2020-06-04,Member
79,51,4,2023-02-17,President
80,148,17,2016-01-09,President
81,791,6,2023-08-18,President
82,963,17,2017-08-21,Vice President
83,738,13,2018-02-14,Vice President
84,469,10,2022-01-11,Vice President
85,5,12,2017-05-10,Vice President
86,811,4,2020-02-20,Vice President
87,215,9,2023-09-17,Vice President
88,352,12,2019-03-18,Secretary
89,200,3,2022-10-16,Treasurer
90,71,17,2017-11-24,President
91,869,6,2023-10-02,Treasurer
92,113,11,2023-01-31,Member
93,377,3,2016-08-01,Vice President
94,328,14,2017-03-08,Vice President
95,910,6,2019-06-30,Vice President
96,786,20,2020-10-20,President
97,173,17,2023-12-03,Secretary
98,708,1,2022-09-04,Secretary
99,554,17,2017-01-06,Secretary
100,957,6,2017-09-27,Vice President
101,491,6,2022-01-24,Member
102,201,9,2019-05-24,President
103,793,6,2022-08-12,President
104,774,6,2017-04-03,Treasurer
105,159,7,2015-02-13,Secretary
106,369,12,2023-05-30,Treasurer
107,404,8,2018-05-23,Secretary
108,417,9,2016-07-04,President
109,324,5,2016-05-14,Treasurer
110,603,2,2016-03-20,Vice President
111,973,16,2019-11-13,Treasurer
112,729,11,2019-06-06,Treasurer
113,701,3,2019-08-12,Vice President
114,951,8,2020-03-28,Treasurer
115,54,9,2019-11-06,Vice President
116,501,1,2019-08-13,Treasurer
117,759,16,2016-07-03,President
118,124,9,2021-02-15,Treasurer
119,572,1,2019-12-23,President
120,319,3,2015-05-27,Secretary
121,336,19,2015-10-09,President
122,202,8,2021-10-08,Vice President
123,255,1,2019-03-31,President
124,462,9,2017-01-01,Treasurer
125,650,9,2018-08-09,Member
126,990,18,2020-06-13,Vice President
127,373,12,2016-04-22,President
128,883,20,2023-04-09,Secretary
