membership_id,student_id,library_id,start_date,end_date
1,316,1,2017-03-09,2024-03-15
2,827,1,2017-06-04,
3,564,1,2020-09-18,2024-10-06
4,455,4,2016-01-09,2024-11-21
5,680,5,2023-09-16,2024-07-08
6,435,4,2015-07-18,2024-06-01
7,567,1,2017-03-09,2024-12-15
8,894,3,2019-07-28,2024-06-03
9,398,3,2017-04-23,2024-06-22
10,223,5,2015-03-12,2024-04-22
11,558,4,2015-09-10,2024-11-16
12,127,2,2023-08-09,2024-01-16
13,264,2,2015-01-25,
14,446,5,2021-10-18,2024-12-18
15,165,2,2017-04-27,2024-07-09
16,864,4,2018-04-11,2024-09-27
17,450,4,2018-12-26,2024-08-02
18,615,4,2020-05-17,
19,345,4,2022-07-30,2024-12-17
20,790,1,2022-09-21,2024-06-18
21,515,1,2015-09-10,2024-11-13
22,260,4,2019-09-28,
23,306,3,2022-03-29,2024-01-29
24,362,2,2020-06-11,
25,709,1,2015-10-07,2024-10-08
26,637,3,2019-11-29,2024-09-10
27,674,3,2023-02-12,
28,956,3,2017-07-01,2024-03-20
29,240,5,2015-04-18,2024-07-21
30,744,2,2015-10-03,2024-07-03
31,241,1,2017-06-20,2024-12-16
32,1000,4,2016-09-16,
33,944,3,2018-02-07,2024-11-10
34,978,3,2022-06-27,2024-03-10
35,207,3,2017-04-22,
36,876,5,2020-04-30,
37,932,2,2015-07-18,2024-10-04
38,709,1,2020-05-02,2024-12-24
39,915,1,2023-11-21,2024-05-23
40,144,4,2021-04-23,2024-05-10
41,220,5,2022-05-24,
42,227,3,2020-07-17,
43,80,5,2017-11-28,2024-09-12
44,104,5,2020-12-04,2024-05-11
45,229,1,2023-04-11,2024-07-31
46,51,2,2020-03-13,
47,345,4,2017-07-01,2024-07-20
48,476,4,2015-02-06,2024-08-07
49,492,5,2017-12-15,
50,130,1,2017-10-10,
51,367,4,2020-04-03,2024-08-09
52,739,5,2021-06-22,2024-04-28
53,655,2,2017-11-16,
54,414,5,2022-07-30,2024-05-25
55,545,4,2017-10-19,2024-09-15
56,91,1,2015-05-28,2024-06-02
57,947,3,2015-09-09,2024-08-04
58,687,2,2017-09-04,2024-10-02
59,81,1,2015-06-01,2024-11-08
60,147,4,2019-10-06,
61,279,2,2022-10-31,2024-04-23
62,570,1,2015-04-04,2024-02-17
63,756,2,2019-06-10,2024-09-15
64,712,5,2018-12-06,2024-03-22
65,57,5,2022-10-24,2024-03-21
66,257,5,2021-06-19,2024-02-21
67,125,3,2020-10-25,2025-01-01
68,827,2,2016-04-12,2024-11-07
69,226,4,2019-04-22,2024-09-05
70,320,1,2020-03-31,2024-09-27
71,571,3,2017-11-07,2024-10-15
72,481,2,2019-11-26,2024-01-30
73,142,2,2018-11-26,2024-05-17
74,208,3,2023-07-25,2024-11-06
75,972,4,2018-08-09,2024-09-09
76,591,3,2017-01-05,2024-05-23
77,640,5,2020-10-28,2024-01-13
78,924,2,2023-01-26,
79,670,2,2017-05-21,2024-07-27
80,418,3,2023-06-07,2024-06-09
81,660,3,2015-08-09,2024-08-16
82,11,1,2020-06-14,2024-05-08
83,712,1,2018-07-06,2024-07-16
84,874,4,2022-05-06,
85,406,5,2019-06-28,2024-05-31
86,170,1,2016-11-06,2024-08-07
87,953,3,2018-06-19,2024-06-14
88,761,1,2021-09-28,
89,612,1,2018-11-22,
90,511,3,2019-12-11,2024-09-11
91,395,1,2015-10-29,2024-09-12
92,72,2,2018-07-20,
93,918,1,2019-05-29,2024-12-13
94,958,2,2015-11-22,2024-08-06
95,937,4,2015-01-26,
96,371,2,2023-02-03,2024-02-13
97,727,2,2022-10-29,
98,29,5,2017-03-03,2024-10-16
99,764,3,2021-02-25,2024-09-28
100,995,5,2019-11-12,2024-05-10
101,185,5,2017-03-10,
102,203,5,2019-02-07,2024-04-22
103,589,1,2022-01-08,2024-07-27
104,691,1,2018-01-11,2024-12-11
105,560,4,2015-07-27,2024-10-29
106,675,4,2018-07-28,2024-05-19
107,644,5,2018-12-20,2024-03-22
108,69,5,2023-10-12,2024-02-03
109,233,1,2023-03-02,2024-06-22
110,92,5,2021-09-23,
111,499,2,2022-03-19,2024-05-11
112,786,4,2022-10-30,2024-07-24
113,312,5,2022-10-21,2024-06-16
114,617,1,2023-12-30,2024-12-09
115,668,5,2018-01-31,2024-02-08
116,878,2,2023-03-27,2024-08-11
117,242,4,2018-04-26,
118,524,2,2017-02-17,
119,630,3,2023-01-28,2024-12-21
120,403,3,2017-05-26,2024-02-05
121,284,4,2023-12-20,2024-02-21
122,780,5,2017-03-03,2024-08-10
123,379,4,2022-10-03,
124,690,4,2017-03-08,2024-02-02
125,773,5,2015-01-14,2024-02-25
126,340,2,2015-11-21,2024-12-23
127,13,2,2017-04-01,2024-05-16
128,908,5,2019-04-16,2024-09-01
129,329,2,2019-02-26,2024-02-16
130,879,3,2021-12-10,
131,325,4,2019-01-09,2024-02-10
132,704,5,2016-05-22,2024-09-11
133,338,1,2022-03-26,2024-08-03
134,368,2,2016-10-11,2024-03-15
135,3,5,2019-12-03,2024-01-07
136,981,4,2023-07-14,2024-05-06
137,536,1,2022-02-09,
138,721,3,2015-01-04,
139,277,1,2022-06-07,
140,5,2,2016-04-07,2024-03-25
141,129,3,2022-05-28,2024-06-07
142,22,5,2019-07-14,2024-07-08
143,301,5,2015-08-11,2024-06-21
144,325,5,2019-12-22,
145,465,2,2015-03-30,2024-03-03
146,872,3,2023-09-11,2024-01-23
147,59,4,2020-02-14,
148,255,5,2023-07-04,2024-07-19
149,683,2,2019-08-28,2024-08-03
150,332,2,2018-02-27,2024-05-13
151,687,4,2021-07-23,
152,430,2,2021-11-29,2024-08-17
153,438,4,2018-08-01,2024-03-24
154,717,5,2017-06-22,2024-11-30
155,245,5,2020-06-22,
156,948,3,2022-07-31,
157,709,2,2023-03-08,2024-12-30
158,926,5,2020-03-05,
159,334,1,2022-01-17,2024-03-03
160,76,1,2021-12-06,2024-08-17
161,269,3,2018-03-10,
162,887,1,2015-08-10,2024-08-05
163,812,5,2021-11-19,2024-12-07
164,382,1,2017-05-04,
165,843,5,2018-02-23,2024-01-27
166,817,5,2021-12-07,2024-08-26
167,282,4,2019-12-21,2024-12-30
168,809,1,2015-08-12,2024-11-25
169,345,1,2020-08-08,2024-02-12
170,125,5,2021-01-17,2024-02-14
171,838,3,2020-10-11,2024-06-24
172,590,5,2022-11-16,2024-09-13
173,273,1,2019-08-29,2024-03-03
174,363,3,2021-09-10,2024-08-23
175,815,4,2017-05-18,2024-09-21
176,122,4,2019-08-22,2024-01-25
177,944,4,2022-06-28,
178,833,4,2019-06-02,2024-08-12
179,634,5,2019-07-17,2024-05-14
180,3,5,2016-07-02,2024-10-31
181,314,4,2015-05-18,2024-03-19
182,2,1,2019-08-01,
183,25,1,2023-10-18,2024-04-17
184,331,2,2019-11-17,2024-05-16
185,935,4,2021-06-25,2024-12-05
186,538,4,2023-11-02,2024-08-03
187,975,1,2022-09-20,2024-08-18
188,40,4,2016-06-01,2024-12-06
189,950,4,2017-12-05,
190,229,2,2023-07-04,2024-04-18
191,236,3,2019-10-30,2024-03-23
192,611,3,2019-01-06,2024-04-01
193,437,2,2015-07-26,2024-03-13
194,440,5,2017-01-14,2024-07-04
195,819,5,2020-03-27,
196,876,1,2022-05-31,2024-08-04
197,967,4,2016-12-14,2024-03-04
198,489,3,2023-12-18,2024-03-11
199,211,1,2020-11-02,2024-04-05
200,29,1,2023-11-29,
201,828,1,2023-07-23,2024-04-22
202,380,4,2018-02-23,2024-03-14
203,999,3,2022-10-31,2024-04-23
204,777,2,2021-07-07,2024-12-01
205,314,5,2021-07-12,2024-09-05
206,648,4,2022-07-03,
207,370,2,2022-11-17,2024-12-16
208,97,5,2023-06-25,2024-03-26
209,18,2,2020-01-22,2024-01-03
210,867,3,2022-04-19,2024-03-07
211,978,2,2015-08-06,
212,682,1,2020-01-08,2024-01-25
213,809,1,2018-12-30,2024-11-21
214,160,1,2016-08-22,2024-03-10
215,117,3,2016-03-18,2024-03-08
216,907,1,2015-04-14,2024-04-30
217,666,3,2015-02-13,2024-08-05
218,595,3,2022-05-24,2024-03-14
219,236,2,2023-05-23,
220,178,1,2023-07-05,2024-05-06
221,951,1,2021-06-06,2024-01-30
222,735,3,2018-05-28,2024-03-10
223,554,2,2015-02-21,2024-12-12
224,27,4,2022-07-22,2024-07-25
225,223,3,2015-01-28,2024-07-28
226,497,4,2022-02-03,2024-03-15
227,289,2,2017-02-24,2024-05-18
228,792,4,2020-07-27,2024-06-28
229,817,4,2020-09-27,2024-11-23
230,997,3,2016-04-26,
231,575,4,2022-04-18,2024-11-20
232,26,4,2020-06-09,2024-12-24
233,820,2,2020-10-17,2024-12-20
234,309,3,2015-01-17,
235,976,4,2022-11-05,2024-08-13
236,532,2,2022-10-07,2024-05-30
237,461,3,2017-10-23,2024-08-07
238,753,4,2021-05-07,
239,753,2,2022-09-22,2024-02-29
240,889,2,2015-02-17,2024-09-16
241,658,1,2020-03-16,
242,260,5,2021-12-29,2024-12-16
243,807,3,2022-11-30,2024-09-08
