club_id,club_name,created_on,advisor_id
1,Club Hit,2018-10-15,26
2,Club Far,2022-09-07,47
3,Club Win,2015-12-19,23
4,Club Take,2023-09-05,20
5,Club Building,2020-08-07,14
6,Club Seven,2015-11-17,12
7,Club Add,2016-03-28,89
8,Club Account,2019-02-09,68
9,Club Today,2017-07-25,6
10,Club Easy,2020-02-04,67
11,Club Tough,2016-10-08,68
12,Club Thus,2017-03-31,77
13,Club Attention,2018-10-23,93
14,Club Hand,2015-04-20,94
15,Club Compare,2022-06-07,50
16,Club House,2016-10-22,50
17,Club Tv,2023-09-03,22
18,Club Speak,2022-11-20,81
19,Club Short,2019-11-08,71
20,Club Note,2021-03-20,92
